episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp,variant,family,training_seed,timesteps
26,dqn_500k_seed123,1390.0,,858,858,,1.62004662004662,,1026,models/dqn_500k_seed123.zip,2026-06-07T13:04:45,dqn_500k_seed123,dqn,123,500000
27,dqn_500k_seed123,850.0,,955,955,,0.8900523560209425,,1027,models/dqn_500k_seed123.zip,2026-06-07T13:04:49,dqn_500k_seed123,dqn,123,500000
28,dqn_500k_seed123,940.0,,796,796,,1.1809045226130652,,1028,models/dqn_500k_seed123.zip,2026-06-07T13:04:53,dqn_500k_seed123,dqn,123,500000
29,dqn_500k_seed123,1390.0,,859,859,,1.6181606519208382,,1029,models/dqn_500k_seed123.zip,2026-06-07T13:04:57,dqn_500k_seed123,dqn,123,500000
30,dqn_500k_seed123,850.0,,953,953,,0.8919202518363064,,1030,models/dqn_500k_seed123.zip,2026-06-07T13:05:01,dqn_500k_seed123,dqn,123,500000
31,dqn_500k_seed123,850.0,,955,955,,0.8900523560209425,,1031,models/dqn_500k_seed123.zip,2026-06-07T13:05:05,dqn_500k_seed123,dqn,123,500000
32,dqn_500k_seed123,1390.0,,860,860,,1.6162790697674418,,1032,models/dqn_500k_seed123.zip,2026-06-07T13:05:09,dqn_500k_seed123,dqn,123,500000
33,dqn_500k_seed123,1240.0,,718,718,,1.7270194986072422,,1033,models/dqn_500k_seed123.zip,2026-06-07T13:05:12,dqn_500k_seed123,dqn,123,500000
34,dqn_500k_seed123,1390.0,,860,860,,1.6162790697674418,,1034,models/dqn_500k_seed123.zip,2026-06-07T13:05:15,dqn_500k_seed123,dqn,123,500000
35,dqn_500k_seed123,1240.0,,718,718,,1.7270194986072422,,1035,models/dqn_500k_seed123.zip,2026-06-07T13:05:19,dqn_500k_seed123,dqn,123,500000
36,dqn_500k_seed123,850.0,,953,953,,0.8919202518363064,,1036,models/dqn_500k_seed123.zip,2026-06-07T13:05:23,dqn_500k_seed123,dqn,123,500000
37,dqn_500k_seed123,850.0,,956,956,,0.8891213389121339,,1037,models/dqn_500k_seed123.zip,2026-06-07T13:05:27,dqn_500k_seed123,dqn,123,500000
38,dqn_500k_seed123,1390.0,,859,859,,1.6181606519208382,,1038,models/dqn_500k_seed123.zip,2026-06-07T13:05:31,dqn_500k_seed123,dqn,123,500000
39,dqn_500k_seed123,940.0,,793,793,,1.185372005044136,,1039,models/dqn_500k_seed123.zip,2026-06-07T13:05:34,dqn_500k_seed123,dqn,123,500000
40,dqn_500k_seed123,1240.0,,724,724,,1.712707182320442,,1040,models/dqn_500k_seed123.zip,2026-06-07T13:05:37,dqn_500k_seed123,dqn,123,500000
41,dqn_500k_seed123,940.0,,796,796,,1.1809045226130652,,1041,models/dqn_500k_seed123.zip,2026-06-07T13:05:41,dqn_500k_seed123,dqn,123,500000
