episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp,variant
36,dqn_reward_500k_alpha0p001_seed123,1000.0,,811,811,,1.2330456226880395,,1036,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:18:58,alpha0p001_beta1_seed123
37,dqn_reward_500k_alpha0p001_seed123,1000.0,,814,814,,1.2285012285012284,,1037,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:02,alpha0p001_beta1_seed123
38,dqn_reward_500k_alpha0p001_seed123,510.0,,489,489,,1.0429447852760736,,1038,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:04,alpha0p001_beta1_seed123
39,dqn_reward_500k_alpha0p001_seed123,1420.0,,663,663,,2.1417797888386123,,1039,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:07,alpha0p001_beta1_seed123
40,dqn_reward_500k_alpha0p001_seed123,570.0,,488,488,,1.1680327868852458,,1040,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:09,alpha0p001_beta1_seed123
41,dqn_reward_500k_alpha0p001_seed123,1420.0,,666,666,,2.1321321321321323,,1041,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:12,alpha0p001_beta1_seed123
42,dqn_reward_500k_alpha0p001_seed123,1420.0,,667,667,,2.128935532233883,,1042,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:15,alpha0p001_beta1_seed123
43,dqn_reward_500k_alpha0p001_seed123,510.0,,492,492,,1.0365853658536586,,1043,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:17,alpha0p001_beta1_seed123
44,dqn_reward_500k_alpha0p001_seed123,510.0,,487,487,,1.0472279260780288,,1044,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:20,alpha0p001_beta1_seed123
45,dqn_reward_500k_alpha0p001_seed123,1420.0,,661,661,,2.1482602118003027,,1045,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:22,alpha0p001_beta1_seed123
46,dqn_reward_500k_alpha0p001_seed123,510.0,,488,488,,1.0450819672131149,,1046,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:25,alpha0p001_beta1_seed123
47,dqn_reward_500k_alpha0p001_seed123,510.0,,493,493,,1.0344827586206895,,1047,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:27,alpha0p001_beta1_seed123
48,dqn_reward_500k_alpha0p001_seed123,510.0,,492,492,,1.0365853658536586,,1048,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:29,alpha0p001_beta1_seed123
49,dqn_reward_500k_alpha0p001_seed123,510.0,,493,493,,1.0344827586206895,,1049,models/dqn_reward_500k_alpha0p001_seed123.zip,2026-06-07T13:19:31,alpha0p001_beta1_seed123
0,dqn_reward_500k_alpha0p01_seed123,330.0,,310,310,,1.064516129032258,,1000,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:14,alpha0p01_beta1_seed123
1,dqn_reward_500k_alpha0p01_seed123,440.0,,369,369,,1.1924119241192412,,1001,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:15,alpha0p01_beta1_seed123
2,dqn_reward_500k_alpha0p01_seed123,440.0,,373,373,,1.1796246648793565,,1002,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:16,alpha0p01_beta1_seed123
3,dqn_reward_500k_alpha0p01_seed123,440.0,,376,376,,1.1702127659574468,,1003,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:18,alpha0p01_beta1_seed123
4,dqn_reward_500k_alpha0p01_seed123,440.0,,374,374,,1.1764705882352942,,1004,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:19,alpha0p01_beta1_seed123
5,dqn_reward_500k_alpha0p01_seed123,890.0,,695,695,,1.2805755395683454,,1005,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:21,alpha0p01_beta1_seed123
6,dqn_reward_500k_alpha0p01_seed123,540.0,,449,449,,1.2026726057906458,,1006,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:23,alpha0p01_beta1_seed123
7,dqn_reward_500k_alpha0p01_seed123,890.0,,695,695,,1.2805755395683454,,1007,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:25,alpha0p01_beta1_seed123
8,dqn_reward_500k_alpha0p01_seed123,540.0,,446,446,,1.210762331838565,,1008,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:27,alpha0p01_beta1_seed123
9,dqn_reward_500k_alpha0p01_seed123,330.0,,316,316,,1.0443037974683544,,1009,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:28,alpha0p01_beta1_seed123
10,dqn_reward_500k_alpha0p01_seed123,540.0,,444,444,,1.2162162162162162,,1010,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:31:30,alpha0p01_beta1_seed123
