episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp,source_file,agent_group,agent_label,algorithm_family,training_seed,training_timesteps,reward_alpha,evaluation_seed,performance_total,performance_per_step
31,dqn_500k_seed456,750.0,,489,489,,1.5337423312883436,,1031,models/dqn_500k_seed456.zip,2026-06-07T13:07:29,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1031,750.0,1.5337423312883436
32,dqn_500k_seed456,600.0,,472,472,,1.271186440677966,,1032,models/dqn_500k_seed456.zip,2026-06-07T13:07:31,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1032,600.0,1.271186440677966
33,dqn_500k_seed456,630.0,,658,658,,0.9574468085106383,,1033,models/dqn_500k_seed456.zip,2026-06-07T13:07:34,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1033,630.0,0.9574468085106383
34,dqn_500k_seed456,600.0,,472,472,,1.271186440677966,,1034,models/dqn_500k_seed456.zip,2026-06-07T13:07:36,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1034,600.0,1.271186440677966
35,dqn_500k_seed456,630.0,,658,658,,0.9574468085106383,,1035,models/dqn_500k_seed456.zip,2026-06-07T13:07:39,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1035,630.0,0.9574468085106383
36,dqn_500k_seed456,750.0,,487,487,,1.540041067761807,,1036,models/dqn_500k_seed456.zip,2026-06-07T13:07:41,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1036,750.0,1.540041067761807
37,dqn_500k_seed456,750.0,,490,490,,1.530612244897959,,1037,models/dqn_500k_seed456.zip,2026-06-07T13:07:43,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1037,750.0,1.530612244897959
38,dqn_500k_seed456,600.0,,471,471,,1.2738853503184713,,1038,models/dqn_500k_seed456.zip,2026-06-07T13:07:46,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1038,600.0,1.2738853503184713
39,dqn_500k_seed456,680.0,,497,497,,1.3682092555331993,,1039,models/dqn_500k_seed456.zip,2026-06-07T13:07:48,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1039,680.0,1.3682092555331993
40,dqn_500k_seed456,630.0,,664,664,,0.9487951807228916,,1040,models/dqn_500k_seed456.zip,2026-06-07T13:07:51,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1040,630.0,0.9487951807228916
41,dqn_500k_seed456,680.0,,500,500,,1.36,,1041,models/dqn_500k_seed456.zip,2026-06-07T13:07:53,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1041,680.0,1.36
42,dqn_500k_seed456,680.0,,501,501,,1.3572854291417165,,1042,models/dqn_500k_seed456.zip,2026-06-07T13:07:55,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1042,680.0,1.3572854291417165
43,dqn_500k_seed456,600.0,,474,474,,1.2658227848101269,,1043,models/dqn_500k_seed456.zip,2026-06-07T13:07:57,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1043,600.0,1.2658227848101269
44,dqn_500k_seed456,600.0,,469,469,,1.279317697228145,,1044,models/dqn_500k_seed456.zip,2026-06-07T13:07:59,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1044,600.0,1.279317697228145
45,dqn_500k_seed456,680.0,,495,495,,1.3737373737373737,,1045,models/dqn_500k_seed456.zip,2026-06-07T13:08:02,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1045,680.0,1.3737373737373737
46,dqn_500k_seed456,600.0,,470,470,,1.2765957446808511,,1046,models/dqn_500k_seed456.zip,2026-06-07T13:08:04,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1046,600.0,1.2765957446808511
47,dqn_500k_seed456,600.0,,475,475,,1.263157894736842,,1047,models/dqn_500k_seed456.zip,2026-06-07T13:08:06,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1047,600.0,1.263157894736842
48,dqn_500k_seed456,600.0,,474,474,,1.2658227848101269,,1048,models/dqn_500k_seed456.zip,2026-06-07T13:08:08,dqn_500k_seed456_eval_seed1000_50eps_results.csv,dqn,DQN,dqn,456.0,500000.0,,1048,600.0,1.2658227848101269
